           Id         Description                  Location                     Room          Affl          Panel Id         Dest Rack Id   SystemType   
Cable:     A385       D: TECH PANEL                L: WORKSHOP G35              R:            A: 1200       FROM: BS217      TO: ER401      SYS: AUDIO_DIGITAL_ANALOG_SEND C: <cable typ
Cable:     A386       D: TECH PANEL                L: WORKSHOP G35              R:            A: 1200       FROM: BS217      TO: ER401      SYS: AUDIO_DIGITAL_ANALOG_SEND C: <cable typ
Cable:     A387       D: TECH PANEL                L: SCENE DOCK G24            R:            A: 500        FROM: BS218      TO: ER401      SYS: AUDIO_DIGITAL_ANALOG_SEND C: <cable typ
Cable:     A388       D: TECH PANEL                L: SCENE DOCK G24            R:            A: 500        FROM: BS218      TO: ER401      SYS: AUDIO_DIGITAL_ANALOG_SEND C: <cable typ
Cable:     A389       D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB201      TO: ER401      SYS: AUDIO_DIGITAL_ANALOG_SEND C: <cable typ
Cable:     A390       D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB201      TO: ER401      SYS: AUDIO_DIGITAL_ANALOG_SEND C: <cable typ
Cable:     A391       D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB202      TO: ER401      SYS: AUDIO_DIGITAL_ANALOG_SEND C: <cable typ
Cable:     A392       D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB202      TO: ER401      SYS: AUDIO_DIGITAL_ANALOG_SEND C: <cable typ
Cable:     A393       D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB203      TO: ER401      SYS: AUDIO_DIGITAL_ANALOG_SEND C: <cable typ
Cable:     A394       D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB203      TO: ER401      SYS: AUDIO_DIGITAL_ANALOG_SEND C: <cable typ
Cable:     A395       D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB204      TO: ER401      SYS: AUDIO_DIGITAL_ANALOG_SEND C: <cable typ
Cable:     A396       D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB204      TO: ER401      SYS: AUDIO_DIGITAL_ANALOG_SEND C: <cable typ
Cable:     A397       D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB205      TO: ER401      SYS: AUDIO_DIGITAL_ANALOG_SEND C: <cable typ
Cable:     A398       D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB205      TO: ER401      SYS: AUDIO_DIGITAL_ANALOG_SEND C: <cable typ
Cable:     A399       D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB206      TO: ER401      SYS: AUDIO_DIGITAL_ANALOG_SEND C: <cable typ
Cable:     A400       D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB206      TO: ER401      SYS: AUDIO_DIGITAL_ANALOG_SEND C: <cable typ
Cable:     A401       D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB207      TO: ER401      SYS: AUDIO_DIGITAL_ANALOG_SEND C: <cable typ
Cable:     A402       D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB207      TO: ER401      SYS: AUDIO_DIGITAL_ANALOG_SEND C: <cable typ
Cable:     A403       D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB208      TO: ER401      SYS: AUDIO_DIGITAL_ANALOG_SEND C: <cable typ
Cable:     A404       D: FLOORBOXES                L: STAGE                     R: G15        A: 0          FROM: FB208      TO: ER401      SYS: AUDIO_DIGITAL_ANALOG_SEND C: <cable typ
Cable:     A405       D: FLOORBOXES                L: AUDITORIUM                R: G16        A: 0          FROM: FB251      TO: ER401      SYS: AUDIO_DIGITAL_ANALOG_SEND C: <cable typ
Cable:     A406       D: FLOORBOXES                L: AUDITORIUM                R: G16        A: 0          FROM: FB251      TO: ER401      SYS: AUDIO_DIGITAL_ANALOG_SEND C: <cable typ
Cable:     A407       D: FLOORBOXES                L: AUDITORIUM                R: G16        A: 0          FROM: FB252      TO: ER401      SYS: AUDIO_DIGITAL_ANALOG_SEND C: <cable typ
Cable:     A408       D: FLOORBOXES                L: AUDITORIUM                R: G16        A: 0          FROM: FB252      TO: ER401      SYS: AUDIO_DIGITAL_ANALOG_SEND C: <cable typ
Cable:     A409       D: FLOORBOXES                L: AUDITORIUM                R: G16        A: 0          FROM: FB253      TO: ER401      SYS: AUDIO_DIGITAL_ANALOG_SEND C: <cable typ
Cable:     A410       D: FLOORBOXES                L: AUDITORIUM                R: G16        A: 0          FROM: FB253      TO: ER401      SYS: AUDIO_DIGITAL_ANALOG_SEND C: <cable typ
Cable:     A411       D: FLOORBOXES                L: AUDITORIUM                R: G16        A: 0          FROM: FB254      TO: ER401      SYS: AUDIO_DIGITAL_ANALOG_SEND C: <cable typ
Cable:     A412       D: FLOORBOXES                L: AUDITORIUM                R: G16        A: 0          FROM: FB254      TO: ER401      SYS: AUDIO_DIGITAL_ANALOG_SEND C: <cable typ
Cable:     A413       D: FLOORBOXES                L: AUDITORIUM                R: G16        A: 0          FROM: FB255      TO: ER401      SYS: AUDIO_DIGITAL_ANALOG_SEND C: <cable typ
Cable:     A414       D: FLOORBOXES                L: AUDITORIUM                R: G16        A: 0          FROM: FB255      TO: ER401      SYS: AUDIO_DIGITAL_ANALOG_SEND C: <cable typ
Cable:     A415       D: FLOORBOXES                L: AUDITORIUM                R: G16        A: 0          FROM: FB256      TO: ER401      SYS: AUDIO_DIGITAL_ANALOG_SEND C: <cable typ
Cable:     A416       D: FLOORBOXES                L: AUDITORIUM                R: G16        A: 0          FROM: FB256      TO: ER401      SYS: AUDIO_DIGITAL_ANALOG_SEND C: <cable typ
